url_length,domain_length,path_length,num_dots,num_hyphens,num_digits,num_special_chars,num_subdirs,num_query_params,has_ip,has_at,has_https,has_port,suspicious_keyword,suspicious_tld,domain_entropy,is_popular_domain,label
22,6,8,1,0,2,1,3,0,0,0,1,0,0,0,2.584962500721156,0,1
80,19,53,2,0,19,1,4,0,0,0,1,0,0,0,3.431623565847431,0,1
41,32,1,2,2,6,1,3,0,0,0,1,0,0,0,4.288909765557392,0,1
44,35,1,2,2,6,1,3,0,0,0,1,0,0,0,4.068728288980288,0,1
42,33,1,2,2,6,1,3,0,0,0,1,0,0,0,4.210764573772789,0,1
34,25,1,2,0,0,1,3,0,0,0,1,0,0,0,3.7834651896016473,1,1
32,25,0,2,0,0,1,2,0,0,0,0,0,0,0,3.7834651896016473,1,1
41,32,1,2,2,6,1,3,0,0,0,1,0,0,0,3.952819531114783,0,1
38,29,1,2,2,6,1,3,0,0,0,1,0,0,0,3.8234982365068824,0,1
32,23,1,2,0,0,1,3,0,0,0,1,0,0,0,3.6211755429194707,1,1
33,24,1,2,0,0,1,3,0,0,0,1,0,0,0,3.7720552088742005,1,1
41,32,1,2,0,0,1,3,0,0,0,1,0,0,0,4.0746987351738495,1,1
43,34,1,2,0,0,1,3,0,0,0,1,0,0,0,4.098944003766904,1,1
33,24,1,2,0,0,1,3,0,0,0,1,0,0,0,3.8868421881310113,1,1
31,22,1,2,0,0,1,3,0,0,0,1,0,0,0,3.641249800455479,1,1
63,54,1,2,0,0,1,3,0,0,0,1,0,1,0,4.163898557751709,1,1
36,27,1,2,0,0,1,3,0,0,0,1,0,0,0,3.7784235030301248,1,1
29,20,1,2,0,0,1,3,0,0,0,1,0,0,0,3.521928094887363,1,1
36,27,1,2,0,5,1,3,0,0,0,1,0,0,0,3.884155094595804,1,1
33,24,1,2,0,0,1,3,0,0,0,1,0,0,0,3.7720552088742005,1,1
31,22,1,2,0,1,1,3,0,0,0,1,0,0,0,3.568084324344715,1,1
32,23,1,2,0,0,1,3,0,0,0,1,0,1,0,3.5342190211803404,1,1
55,26,15,2,0,2,2,3,1,0,0,1,0,1,0,3.6321921215711943,0,1
30,21,1,2,1,5,1,3,0,0,0,1,0,0,0,3.916126946588284,1,1
32,23,1,2,0,0,1,3,0,0,0,1,0,1,0,3.7081320646586016,1,1
25,16,1,2,0,0,1,3,0,0,0,1,0,0,0,3.327819531114783,1,1
33,24,1,2,0,3,1,3,0,0,0,1,0,0,0,3.7406015629507223,1,1
40,21,11,2,0,0,1,3,0,0,0,1,0,0,0,3.594465636961452,1,1
46,37,1,2,0,0,1,3,0,0,0,1,0,0,0,3.8437959328456848,1,1
61,16,37,4,0,0,1,7,0,0,0,1,0,0,0,3.2806390622295662,0,1
29,20,1,2,1,0,1,3,0,0,0,1,0,0,0,3.4464393446710155,0,1
38,16,14,3,1,3,1,3,0,0,0,1,0,0,0,3.327819531114783,0,1
26,19,0,1,0,0,1,2,0,0,0,0,0,0,0,3.6818808028034025,0,1
28,19,1,1,0,0,1,3,0,0,0,1,0,0,0,3.6818808028034025,0,1
69,27,13,3,3,15,2,4,1,0,0,1,0,0,0,3.9582291686698783,0,1
46,29,9,3,2,0,1,3,0,0,0,1,0,0,0,4.021268494903765,0,1
48,41,0,2,0,9,1,2,0,0,0,0,0,0,0,4.324270834457101,0,1
32,15,9,2,0,0,1,3,0,0,0,1,0,0,0,2.7898980954642876,0,1
89,26,55,6,0,0,1,5,0,0,0,1,0,1,0,3.5175594295963437,0,1
26,18,1,1,1,0,1,3,0,0,0,0,0,1,0,3.530493056757482,0,1
25,14,3,1,0,0,1,3,0,0,0,1,0,0,0,2.8962915290459277,0,1
23,14,1,2,0,0,1,3,0,0,0,1,0,0,0,3.1820058147602133,0,1
59,17,22,1,1,16,2,5,0,0,0,1,0,0,0,3.9698157824268097,0,1
54,12,22,1,0,14,2,5,0,0,0,1,0,0,0,3.084962500721156,0,1
52,10,22,1,0,14,2,5,0,0,0,1,0,0,0,2.9219280948873623,0,1
57,15,22,1,0,17,2,5,0,0,0,1,0,0,0,3.640223928941852,0,1
38,24,6,2,2,0,1,3,0,0,0,1,0,0,0,3.8035088547976783,1,1
39,24,7,2,2,0,1,4,0,0,0,1,0,0,0,3.8035088547976783,1,1
31,24,0,2,1,0,1,2,0,0,0,0,0,0,0,3.938721875540867,1,1
33,24,1,2,1,0,1,3,0,0,0,1,0,0,0,3.938721875540867,1,1
36,27,1,2,1,0,1,3,0,0,0,1,0,0,0,3.986187965046303,1,1
34,27,0,2,1,0,1,2,0,0,0,0,0,0,0,3.986187965046303,1,1
36,29,0,2,2,0,1,2,0,0,0,0,0,0,0,3.9523029776623857,1,1
38,29,1,2,2,0,1,3,0,0,0,1,0,0,0,3.9523029776623857,1,1
28,19,1,1,1,2,1,3,0,0,0,1,0,0,0,3.6818808028034025,0,1
37,19,10,2,1,2,1,3,0,0,0,1,0,0,0,3.6818808028034025,0,1
43,22,13,1,0,2,1,5,0,0,0,1,0,0,0,3.447401504705915,0,1
34,25,1,2,1,0,1,3,0,0,0,1,0,0,0,3.32307418942857,0,1
34,25,1,2,0,0,1,3,0,0,0,1,0,0,0,3.543465189601647,1,1
48,39,1,2,4,0,1,3,0,0,0,1,0,1,0,4.0478467699778795,0,1
41,32,1,2,2,0,1,3,0,0,0,1,0,0,0,3.8636085007312415,0,1
31,22,1,1,0,0,1,3,0,0,0,1,0,0,0,3.641249800455479,0,1
36,22,6,1,0,0,1,3,0,0,0,1,0,0,0,3.641249800455479,0,1
29,20,1,1,0,0,1,3,0,0,0,1,0,0,0,3.3464393446710154,0,1
40,20,12,2,0,0,1,3,0,0,0,1,0,0,0,3.3464393446710154,0,1
21,13,1,1,1,0,1,3,0,0,0,0,0,0,0,3.0269868333592873,0,1
28,19,1,1,1,2,1,3,0,0,0,1,0,0,0,3.787143960698139,0,1
37,19,10,2,1,2,1,3,0,0,0,1,0,0,0,3.787143960698139,0,1
43,36,0,2,1,7,1,2,0,0,0,0,0,0,0,4.228972140861001,0,1
49,42,0,2,2,5,1,2,0,0,0,0,0,0,0,4.184482757226366,0,1
59,32,19,3,1,0,1,3,0,0,0,1,0,1,0,4.179229296672175,0,1
36,17,11,2,1,0,1,4,0,0,0,1,0,0,0,3.29277019393699,1,1
47,25,14,2,2,0,1,4,0,0,0,1,0,0,0,3.7834651896016473,1,1
33,24,1,2,1,0,1,3,0,0,0,1,0,0,0,3.427694271103767,0,1
31,24,0,2,1,0,1,2,0,0,0,0,0,0,0,3.427694271103767,0,1
43,25,10,2,2,0,1,4,0,0,0,1,0,0,0,3.733660689688186,1,1
42,35,0,2,0,7,1,2,0,0,0,0,0,0,0,4.04716007463276,0,1
